MSE12,MSE23,MSE13,SSIM12,SSIM23,SSIM13
0.020950521,0.000203993,0.021319444,0.999971104,0.999995416,0.999962626
0.000203993,0.000104167,0.000360243,0.999995416,0.99999795,0.999990869
0.000104167,3.04E-05,0.00015191,0.99999795,0.999999854,0.999997664
3.04E-05,4.34E-06,5.21E-05,0.999999854,0.999999993,0.999999817
4.34E-06,0,4.34E-06,0.999999993,1,0.999999993
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,0,0,1,1,1
0,22.97347656,22.97347656,1,0.866000473,0.866000473
22.97347656,27.66149306,52.83437934,0.866000473,0.91623902,0.81663621
27.66149306,355.3759332,374.9771224,0.91623902,0.799198082,0.741064304
355.3759332,679.0924826,1033.043893,0.799198082,0.74449697,0.640778714
679.0924826,888.1636545,1585.492196,0.74449697,0.70469639,0.594835567
888.1636545,2821.744379,3628.306975,0.70469639,0.463279766,0.399852895
2821.744379,4764.452756,6416.220998,0.463279766,0.331402185,0.313922841
4764.452756,3527.39503,6361.966719,0.331402185,0.416001267,0.277975593
3527.39503,4141.659536,6141.266901,0.416001267,0.416157262,0.31366169
4141.659536,2036.924792,5104.114987,0.416157262,0.578494292,0.380422163
2036.924792,1447.942413,3002.233134,0.578494292,0.630640544,0.500055797
1447.942413,1394.321029,2385.31898,0.630640544,0.656422801,0.553935993
1394.321029,704.4494444,2000.224874,0.656422801,0.773294486,0.609250062
704.4494444,1457.977318,2091.004436,0.773294486,0.68472925,0.628141497
1457.977318,555.4906684,1947.122057,0.68472925,0.801820652,0.637925755
555.4906684,1141.422161,1635.410859,0.801820652,0.7083461,0.653206995
1141.422161,667.2142795,1735.899097,0.7083461,0.79620669,0.649372676
667.2142795,1538.208247,2198.851276,0.79620669,0.679317039,0.625797018
1538.208247,532.0730165,2013.017556,0.679317039,0.807755427,0.633738061
532.0730165,1001.968945,1451.27263,0.807755427,0.722819907,0.670395896
1001.968945,538.8683333,1530.730412,0.722819907,0.817364489,0.668346466
538.8683333,885.5211155,1375.577348,0.817364489,0.738857773,0.680967879
885.5211155,490.6197309,1293.231011,0.738857773,0.831210947,0.680953544
490.6197309,1031.112747,1482.798069,0.831210947,0.741666131,0.685944368
1031.112747,513.1674392,1538.710681,0.741666131,0.83421964,0.68657273
513.1674392,830.4514106,1371.705985,0.83421964,0.759152128,0.691318401
830.4514106,314.8567882,1156.579206,0.759152128,0.86298345,0.703565774
314.8567882,637.547487,946.8418273,0.86298345,0.781915527,0.723080109
637.547487,514.8970313,1086.113659,0.781915527,0.84186991,0.711180878
514.8970313,1349.612826,1735.139275,0.84186991,0.719750516,0.664269772
1349.612826,1038.938911,2325.854861,0.719750516,0.803740809,0.632491436
1038.938911,1561.560104,2545.504839,0.803740809,0.714217931,0.625709273
1561.560104,774.9795139,2362.782144,0.714217931,0.802359497,0.630518776
774.9795139,1574.138351,2259.296589,0.802359497,0.701740486,0.625394225
1574.138351,784.7894488,2206.647183,0.701740486,0.808965398,0.632756713
784.7894488,1509.743628,2163.816714,0.808965398,0.686746593,0.624424918
1509.743628,793.8656988,2092.780343,0.686746593,0.728161681,0.584053527
793.8656988,1607.473563,2105.121658,0.728161681,0.67265245,0.582492314
1607.473563,978.0562977,2279.631571,0.67265245,0.737785085,0.58861115
978.0562977,1875.638025,2587.370608,0.737785085,0.607640249,0.540204145
1875.638025,1393.531159,2852.89704,0.607640249,0.681669469,0.531405154
1393.531159,1906.880313,2800.097391,0.681669469,0.607712831,0.53548913
1906.880313,935.0576302,2474.818845,0.607712831,0.712701816,0.547031723
935.0576302,1445.555095,1840.746606,0.712701816,0.625377887,0.569197264
1445.555095,1008.090803,1943.63082,0.625377887,0.691187312,0.558570992
1008.090803,1890.489792,2416.373902,0.691187312,0.576561116,0.519740051
1890.489792,1348.046797,2678.610382,0.576561116,0.647881603,0.496864917
1348.046797,1962.861359,2594.406827,0.647881603,0.556770253,0.48834197
1962.861359,1396.417708,2662.597235,0.556770253,0.623398193,0.475764393
1396.417708,1991.73395,2693.155842,0.623398193,0.551543689,0.469391837
1991.73395,1216.958694,2477.074032,0.551543689,0.636235982,0.488902101
1216.958694,1859.079661,2340.402409,0.636235982,0.54151879,0.482700794
1859.079661,1256.425161,2371.765707,0.54151879,0.636866642,0.486898008
1256.425161,2134.257643,2643.95033,0.636866642,0.533443348,0.476154633
2134.257643,1333.942391,2755.450365,0.533443348,0.623714247,0.472857014
1333.942391,2127.201042,2743.128251,0.623714247,0.506987135,0.452717212
2127.201042,1297.177982,2667.138381,0.506987135,0.603970605,0.449131144
1297.177982,2117.228047,2663.372157,0.603970605,0.489010058,0.434248218
2117.228047,1330.154141,2748.277144,0.489010058,0.579139932,0.426785233
1330.154141,2331.706432,2944.224922,0.579139932,0.461276696,0.40646623
2331.706432,1469.368568,2964.162743,0.461276696,0.56565087,0.403730367
1469.368568,2425.334115,3066.723672,0.56565087,0.44457797,0.387839203
2425.334115,1431.534865,3042.383711,0.44457797,0.555985399,0.391205844
1431.534865,2326.906714,2927.930651,0.555985399,0.449219897,0.392723242
2326.906714,1391.840425,2965.430603,0.449219897,0.56040609,0.390117072
1391.840425,2210.408498,2863.055,0.56040609,0.465171461,0.395658415
2210.408498,1243.610178,2802.569909,0.465171461,0.576917537,0.396104054
1243.610178,2111.538069,2765.493707,0.576917537,0.479547156,0.401339258
2111.538069,1143.466602,2760.477101,0.479547156,0.582978087,0.401318966
1143.466602,1954.273151,2614.433529,0.582978087,0.485225506,0.398725746
1954.273151,1101.856736,2576.925017,0.485225506,0.594149451,0.398863301
1101.856736,1908.532539,2507.751176,0.594149451,0.48467003,0.40105061
1908.532539,1064.209401,2478.469536,0.48467003,0.60279815,0.399328525
1064.209401,1893.273181,2466.921845,0.60279815,0.487225045,0.403381913
1893.273181,1012.97569,2455.587266,0.487225045,0.607697988,0.405039161
1012.97569,1748.122539,2372.341623,0.607697988,0.482303037,0.409493627
1748.122539,907.4908898,2301.826753,0.482303037,0.635399965,0.418190926
907.4908898,1674.76783,2274.848806,0.635399965,0.511622977,0.43738713
1674.76783,822.6961241,2240.709206,0.511622977,0.663441033,0.442952485
822.6961241,1456.075543,2040.766901,0.663441033,0.542713642,0.459167041
1456.075543,820.8137109,2027.6823,0.542713642,0.656779032,0.464347113
820.8137109,1608.316011,2142.623941,0.656779032,0.505234471,0.439237035
1608.316011,828.508954,2190.277309,0.505234471,0.666137978,0.438441984
828.508954,1572.263346,2184.996875,0.666137978,0.525977187,0.451203966
1572.263346,833.1821007,2137.974232,0.525977187,0.67509763,0.458097367
833.1821007,1576.193034,2117.759588,0.67509763,0.511368297,0.452513833
1576.193034,759.7463238,2118.547578,0.511368297,0.701386698,0.453050208
759.7463238,1424.782652,2055.958142,0.701386698,0.544377563,0.461474225
1424.782652,649.3975998,1986.106623,0.544377563,0.726620397,0.459950422
649.3975998,1346.185043,1909.752513,0.726620397,0.53642483,0.453870614
1346.185043,595.0007161,1872.404622,0.53642483,0.741773095,0.453851347
595.0007161,1380.729288,1927.137609,0.741773095,0.552192856,0.46506623
1380.729288,638.5565929,2013.224293,0.552192856,0.737590094,0.45992935
638.5565929,1424.054683,2043.159323,0.737590094,0.550447092,0.457884012
1424.054683,565.131263,1977.790269,0.550447092,0.755439584,0.46551081
565.131263,1183.387418,1733.927821,0.755439584,0.585262732,0.486615677
1183.387418,621.5284766,1821.741276,0.585262732,0.697870649,0.449305407
621.5284766,1263.710417,1831.014744,0.697870649,0.553288838,0.452118233
1263.710417,528.2026128,1773.639852,0.553288838,0.756625752,0.468134358
528.2026128,1223.555777,1762.965985,0.756625752,0.572015234,0.472160008
1223.555777,534.3444705,1754.187886,0.572015234,0.770204561,0.477101611
534.3444705,1219.671441,1759.715122,0.770204561,0.580931377,0.475179059
1219.671441,480.0825347,1734.912118,0.580931377,0.785661133,0.480064168
480.0825347,1024.321897,1592.33148,0.785661133,0.626185558,0.510844301
1024.321897,542.2779123,1653.152005,0.626185558,0.697852672,0.462966819
542.2779123,1098.902413,1564.068633,0.697852672,0.56245147,0.468973228
1098.902413,409.4363932,1523.355386,0.56245147,0.786010272,0.485838625
409.4363932,927.1579036,1417.505903,0.786010272,0.622627644,0.514786601
927.1579036,368.1176432,1391.058724,0.622627644,0.795425059,0.517689914
368.1176432,936.8182899,1385.394631,0.795425059,0.614135139,0.514950124
936.8182899,363.5715234,1381.762018,0.614135139,0.808788537,0.524882101
363.5715234,888.6462934,1332.425881,0.808788537,0.618620699,0.527254624
888.6462934,403.229605,1365.030864,0.618620699,0.787083005,0.516952129
403.229605,847.1801302,1353.741749,0.787083005,0.631070742,0.518574185
847.1801302,306.0384592,1270.583398,0.631070742,0.829900458,0.529625594
306.0384592,849.9187109,1267.834618,0.829900458,0.633479734,0.532528389
849.9187109,313.8702474,1272.557743,0.633479734,0.827331915,0.529003444
313.8702474,815.3409245,1231.248299,0.827331915,0.634725939,0.5329997
815.3409245,304.7486589,1202.278273,0.634725939,0.82594596,0.537241529
304.7486589,684.3133073,1088.204596,0.82594596,0.667867996,0.557779377
684.3133073,281.3686328,1059.301411,0.667867996,0.835875614,0.562149027
281.3686328,683.6612891,1046.523524,0.835875614,0.662679478,0.557008829
683.6612891,215.6292231,976.8588108,0.662679478,0.859990579,0.572228373
215.6292231,624.3810156,924.2544227,0.859990579,0.678773447,0.590309322
624.3810156,231.8492188,940.9900868,0.678773447,0.853381322,0.585324208
231.8492188,634.8024479,952.2086806,0.853381322,0.688778372,0.5902183
634.8024479,220.2565017,933.6549826,0.688778372,0.856504365,0.59082001
220.2565017,556.1132248,858.737513,0.856504365,0.697017834,0.60509317
556.1132248,257.4277778,870.0183377,0.697017834,0.842131309,0.605070286
257.4277778,657.9680425,949.3384592,0.842131309,0.677917445,0.595488696
657.9680425,236.1634245,931.462934,0.677917445,0.850804895,0.59689638
236.1634245,605.6481988,881.8403212,0.850804895,0.688334502,0.609216441
605.6481988,295.2911458,925.3161068,0.688334502,0.82596307,0.603553052
295.2911458,624.2082856,947.8166363,0.82596307,0.688245405,0.601934541
624.2082856,252.734579,921.1142361,0.688245405,0.848880056,0.606105818
252.734579,640.9579036,937.9226476,0.848880056,0.684989782,0.605242805
640.9579036,273.004822,964.6842969,0.684989782,0.846229728,0.603181939
273.004822,668.1048698,993.096671,0.846229728,0.679290547,0.600659869
668.1048698,243.8226997,955.9581597,0.679290547,0.85732915,0.605834397
243.8226997,608.4326693,904.6557509,0.85732915,0.695038613,0.609771099
608.4326693,271.1166493,905.9643099,0.695038613,0.838459707,0.611489368
271.1166493,618.4649696,913.1980078,0.838459707,0.688224057,0.614376732
618.4649696,237.494375,890.1247526,0.688224057,0.856568721,0.616013187
237.494375,557.4713108,824.8043576,0.856568721,0.706929698,0.63198608
557.4713108,217.2770356,797.0863672,0.706929698,0.862063625,0.637359411
217.2770356,494.028928,750.4491406,0.862063625,0.724714402,0.643426191
494.028928,190.0615408,734.2913976,0.724714402,0.876289614,0.647273564
190.0615408,530.5119792,777.7387023,0.876289614,0.712116652,0.637227373
530.5119792,190.5084766,764.9227474,0.712116652,0.874248381,0.643276811
190.5084766,491.6464323,729.9302995,0.874248381,0.723502472,0.652936042
491.6464323,202.1279601,728.1612934,0.723502472,0.866112913,0.652549316
202.1279601,474.8430252,713.8347613,0.866112913,0.732165609,0.657267282
474.8430252,202.2021094,734.3732075,0.732165609,0.870515333,0.642749999
202.2021094,433.626454,654.0067578,0.870515333,0.739174233,0.670358451
433.626454,140.8055773,613.3570486,0.739174233,0.895622732,0.67665381
140.8055773,401.3431207,589.9026302,0.895622732,0.75860603,0.684633557
401.3431207,181.1594575,632.286224,0.75860603,0.882051653,0.671158576
181.1594575,414.6402127,650.2497049,0.882051653,0.754815785,0.664421471
414.6402127,168.0790755,616.2571962,0.754815785,0.882310816,0.677689436
168.0790755,392.246862,605.5979514,0.882310816,0.762157411,0.678217712
392.246862,136.1484809,575.3188411,0.762157411,0.910423384,0.693260593
136.1484809,380.9590582,587.6724523,0.910423384,0.773829833,0.686070777
380.9590582,105.5642014,560.9112109,0.773829833,0.926326936,0.696156584
105.5642014,322.5874262,505.8868273,0.926326936,0.80001445,0.718393885
322.5874262,7503.440729,7511.611168,0.80001445,0.196974595,0.196350231
7503.440729,11.56463976,7508.86122,0.196974595,0.985737586,0.196044025
11.56463976,36.37988715,53.37023872,0.985737586,0.979242376,0.96510972
36.37988715,5.931731771,48.84907552,0.979242376,0.993586557,0.971869394
5.931731771,7.813763021,14.34397569,0.993586557,0.992220156,0.986886543
7.813763021,17.40480903,31.2056901,0.992220156,0.985216309,0.977231812
17.40480903,13.29008681,38.69735243,0.985216309,0.987962938,0.973984421
13.29008681,6.070481771,22.05441406,0.987962938,0.993523187,0.981913606
6.070481771,13.75047309,23.13927951,0.993523187,0.987588412,0.981148761
13.75047309,16.33782986,37.80503906,0.987588412,0.985720031,0.972093433
16.33782986,6.476102431,29.21293403,0.985720031,0.992574835,0.976368281
6.476102431,5.476762153,14.12460069,0.992574835,0.994122829,0.986242902
5.476762153,5.639609375,15.45340278,0.994122829,0.993190912,0.985536092
5.639609375,6.064639757,16.41884115,0.993190912,0.992830345,0.983881694
6.064639757,8.421983507,20.30229167,0.992830345,0.991638059,0.982107675
8.421983507,8.223719618,23.07726563,0.991638059,0.990831036,0.980338975
8.223719618,7.873541667,21.69901476,0.990831036,0.991974906,0.98083983
7.873541667,6.972851563,20.46549045,0.991974906,0.992868063,0.983056728
6.972851563,5.91766059,17.46321181,0.992868063,0.993592756,0.984816008
5.91766059,4.250021701,13.41059028,0.993592756,0.994778335,0.986539945
4.250021701,6.016080729,13.03322049,0.994778335,0.993597523,0.98691801
